PITS_MatchName,Sample name,Site_sample,Site
FITS_SBS6.FITS.15.S256.L001,FITS_SBS6.FITS.15.S256.L001,StP_20,St_Paul
FITS_SBS6.FITS.16.S257.L001,FITS_SBS6.FITS.16.S257.L001,StP_20,St_Paul
FITS_SBS6.FITS.17.S258.L001,FITS_SBS6.FITS.17.S258.L001,StP_20,St_Paul
FITS_SBS6.FITS.18.S259.L001,FITS_SBS6.FITS.18.S259.L001,StP_20,St_Paul
FITS_SBS6.FITS.19.S260.L001,FITS_SBS6.FITS.19.S260.L001,StP_20,St_Paul
FITS_SBS6.FITS.2.S243.L001,FITS_SBS6.FITS.2.S243.L001,StP_20,St_Paul
FITS_SBS6.FITS.20.S261.L001,FITS_SBS6.FITS.20.S261.L001,StP_20,St_Paul
FITS_SBS6.FITS.21.S262.L001,FITS_SBS6.FITS.21.S262.L001,StP_20,St_Paul
FITS_SBS6.FITS.22.S263.L001,FITS_SBS6.FITS.22.S263.L001,StP_20,St_Paul
FITS_SBS6.FITS.23.S264.L001,FITS_SBS6.FITS.23.S264.L001,StP_20,St_Paul
FITS_SBS6.FITS.24.S265.L001,FITS_SBS6.FITS.24.S265.L001,StP_20,St_Paul
FITS_SBS6.FITS.3.S244.L001,FITS_SBS6.FITS.3.S244.L001,StP_20,St_Paul
FITS_SBS6.FITS.4.S245.L001,FITS_SBS6.FITS.4.S245.L001,StP_20,St_Paul
FITS_SBS6.FITS.5.S246.L001,FITS_SBS6.FITS.5.S246.L001,StP_20,St_Paul
FITS_SBS6.FITS.6.S247.L001,FITS_SBS6.FITS.6.S247.L001,StP_20,St_Paul
FITS_SBS6.FITS.7.S248.L001,FITS_SBS6.FITS.7.S248.L001,StP_20,St_Paul
FITS_SBS6.FITS.8.S249.L001,FITS_SBS6.FITS.8.S249.L001,StP_20,St_Paul
FITS_SBS6.FITS.9.S250.L001,FITS_SBS6.FITS.9.S250.L001,StP_20,St_Paul
